Site,Lat,Lon,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
'LHFR'   ,49,-2,0.26,0.12,0.40,0.59,0.51,0.90,1.09,1.71,2.71,3.13,3.85,4.60,7.23,5.83,5.20,7.61,7.72,8.83,8.73,8.15,8.49,8.15,8.37,9.14,7.83,8.08,7.88,13.65,11.32,8.20,8.84,9.97,10.17,13.94,13.34,13.25,13.11,14.97,14.13,13.00,12.71,13.81,11.99,15.17,12.44,16.54,19.91,20.60,19.85,20.09,20.77,19.52,15.93,17.07,17.68,18.80,19.35,17.91,14.80,15.12,19.40,19.38,18.32,18.34,17.84,18.85,18.30,18.00,18.65,19.38,18.32,18.34,17.84,18.85,18.30,18.00,18.65
'MRFR'   ,44,5,0.26,0.12,0.40,0.59,0.51,0.90,1.09,1.71,2.71,3.13,3.85,4.60,7.23,5.83,5.20,7.61,7.72,8.83,8.73,8.15,8.49,8.15,8.37,9.14,7.83,8.08,7.88,13.65,11.32,8.20,8.84,9.97,10.17,13.94,13.34,13.25,13.11,14.97,14.13,13.00,12.71,13.81,11.99,15.17,12.44,16.54,19.91,20.60,19.85,20.09,20.77,19.52,15.93,17.07,17.68,18.80,19.35,17.91,14.80,15.12,19.40,19.38,18.32,18.34,17.84,18.85,18.30,18.00,18.65,19.38,18.32,18.34,17.84,18.85,18.30,18.00,18.65
'MOBL'   ,51,5,0.26,0.12,0.40,0.59,0.51,0.90,1.09,1.71,2.71,3.13,3.85,4.60,7.23,5.83,5.20,7.61,7.72,8.83,8.73,8.15,8.49,8.15,8.37,9.14,7.83,8.08,7.88,13.65,11.32,8.20,8.84,9.97,10.17,13.94,13.34,13.25,13.11,14.97,14.13,13.00,12.71,13.81,11.99,15.17,12.44,16.54,19.91,20.60,19.85,20.09,20.77,19.52,15.93,17.07,17.68,18.80,19.35,17.91,14.80,15.12,19.40,19.38,18.32,18.34,17.84,18.85,18.30,18.00,18.65,19.38,18.32,18.34,17.84,18.85,18.30,18.00,18.65
'KRDE'   ,49,8,0.26,0.12,0.40,0.59,0.51,0.90,1.09,1.71,2.71,3.13,3.85,4.60,7.23,5.83,5.20,7.61,7.72,8.83,8.73,8.15,8.49,8.15,8.37,9.14,7.83,8.08,7.88,13.65,11.32,8.20,8.84,9.97,10.17,13.94,13.34,13.25,13.11,14.97,14.13,13.00,12.71,13.81,11.99,15.17,12.44,16.54,19.91,20.60,19.85,20.09,20.77,19.52,15.93,17.07,17.68,18.80,19.35,17.91,14.80,15.12,19.40,19.38,18.32,18.34,17.84,18.85,18.30,18.00,18.65,19.38,18.32,18.34,17.84,18.85,18.30,18.00,18.65
'SAIT'   ,45,8,0.26,0.12,0.40,0.59,0.51,0.90,1.09,1.71,2.71,3.13,3.85,4.60,7.23,5.83,5.20,7.61,7.72,8.83,8.73,8.15,8.49,8.15,8.37,9.14,7.83,8.08,7.88,13.65,11.32,8.20,8.84,9.97,10.17,13.94,13.34,13.25,13.11,14.97,14.13,13.00,12.71,13.81,11.99,15.17,12.44,16.54,19.91,20.60,19.85,20.09,20.77,19.52,15.93,17.07,17.68,18.80,19.35,17.91,14.80,15.12,19.40,19.38,18.32,18.34,17.84,18.85,18.30,18.00,18.65,19.38,18.32,18.34,17.84,18.85,18.30,18.00,18.65
'ROIT'   ,41,16,0.26,0.12,0.40,0.59,0.51,0.90,1.09,1.71,2.71,3.13,3.85,4.60,7.23,5.83,5.20,7.61,7.72,8.83,8.73,8.15,8.49,8.15,8.37,9.14,7.83,8.08,7.88,13.65,11.32,8.20,8.84,9.97,10.17,13.94,13.34,13.25,13.11,14.97,14.13,13.00,12.71,13.81,11.99,15.17,12.44,16.54,19.91,20.60,19.85,20.09,20.77,19.52,15.93,17.07,17.68,18.80,19.35,17.91,14.80,15.12,19.40,19.38,18.32,18.34,17.84,18.85,18.30,18.00,18.65,19.38,18.32,18.34,17.84,18.85,18.30,18.00,18.65
'DMIS'   ,31,35,0.26,0.12,0.40,0.59,0.51,0.90,1.09,1.71,2.71,3.13,3.85,4.60,7.23,5.83,5.20,7.61,7.72,8.83,8.73,8.15,8.49,8.15,8.37,9.14,7.83,8.08,7.88,13.65,11.32,8.20,8.84,9.97,10.17,13.94,13.34,13.25,13.11,14.97,14.13,13.00,12.71,13.81,11.99,15.17,12.44,16.54,19.91,20.60,19.85,20.09,20.77,19.52,15.93,17.07,17.68,18.80,19.35,17.91,14.80,15.12,19.40,19.38,18.32,18.34,17.84,18.85,18.30,18.00,18.65,19.38,18.32,18.34,17.84,18.85,18.30,18.00,18.65
'TRIN'   ,19,73,0.26,0.12,0.40,0.59,0.51,0.90,1.09,1.71,2.71,3.13,3.85,4.60,7.23,5.83,5.20,7.61,7.72,8.83,8.73,8.15,8.49,8.15,8.37,9.14,7.83,8.08,7.88,13.65,11.32,8.20,8.84,9.97,10.17,13.94,13.34,13.25,13.11,14.97,14.13,13.00,12.71,13.81,11.99,15.17,12.44,16.54,19.91,20.60,19.85,20.09,20.77,19.52,15.93,17.07,17.68,18.80,19.35,17.91,14.80,15.12,19.40,19.38,18.32,18.34,17.84,18.85,18.30,18.00,18.65,19.38,18.32,18.34,17.84,18.85,18.30,18.00,18.65
'KAIN'   ,12,80,0.26,0.12,0.40,0.59,0.51,0.90,1.09,1.71,2.71,3.13,3.85,4.60,7.23,5.83,5.20,7.61,7.72,8.83,8.73,8.15,8.49,8.15,8.37,9.14,7.83,8.08,7.88,13.65,11.32,8.20,8.84,9.97,10.17,13.94,13.34,13.25,13.11,14.97,14.13,13.00,12.71,13.81,11.99,15.17,12.44,16.54,19.91,20.60,19.85,20.09,20.77,19.52,15.93,17.07,17.68,18.80,19.35,17.91,14.80,15.12,19.40,19.38,18.32,18.34,17.84,18.85,18.30,18.00,18.65,19.38,18.32,18.34,17.84,18.85,18.30,18.00,18.65
'NIPK'   ,33,73,0.26,0.12,0.40,0.59,0.51,0.90,1.09,1.71,2.71,3.13,3.85,4.60,7.23,5.83,5.20,7.61,7.72,8.83,8.73,8.15,8.49,8.15,8.37,9.14,7.83,8.08,7.88,13.65,11.32,8.20,8.84,9.97,10.17,13.94,13.34,13.25,13.11,14.97,14.13,13.00,12.71,13.81,11.99,15.17,12.44,16.54,19.91,20.60,19.85,20.09,20.77,19.52,15.93,17.07,17.68,18.80,19.35,17.91,14.80,15.12,19.40,19.38,18.32,18.34,17.84,18.85,18.30,18.00,18.65,19.38,18.32,18.34,17.84,18.85,18.30,18.00,18.65
'TMJP'   ,36,140,0.26,0.12,0.40,0.59,0.51,0.90,1.09,1.71,2.71,3.13,3.85,4.60,7.23,5.83,5.20,7.61,7.72,8.83,8.73,8.15,8.49,8.15,8.37,9.14,7.83,8.08,7.88,13.65,11.32,8.20,8.84,9.97,10.17,13.94,13.34,13.25,13.11,14.97,14.13,13.00,12.71,13.81,11.99,15.17,12.44,16.54,19.91,20.60,19.85,20.09,20.77,19.52,15.93,17.07,17.68,18.80,19.35,17.91,14.80,15.12,19.40,19.38,18.32,18.34,17.84,18.85,18.30,18.00,18.65,19.38,18.32,18.34,17.84,18.85,18.30,18.00,18.65
'ROJP'   ,37,141,0.26,0.12,0.40,0.59,0.51,0.90,1.09,1.71,2.71,3.13,3.85,4.60,7.23,5.83,5.20,7.61,7.72,8.83,8.73,8.15,8.49,8.15,8.37,9.14,7.83,8.08,7.88,13.65,11.32,8.20,8.84,9.97,10.17,13.94,13.34,13.25,13.11,14.97,14.13,13.00,12.71,13.81,11.99,15.17,12.44,16.54,19.91,20.60,19.85,20.09,20.77,19.52,15.93,17.07,17.68,18.80,19.35,17.91,14.80,15.12,19.40,19.38,18.32,18.34,17.84,18.85,18.30,18.00,18.65,19.38,18.32,18.34,17.84,18.85,18.30,18.00,18.65
'GUCN'   ,32,106,0.26,0.12,0.40,0.59,0.51,0.90,1.09,1.71,2.71,3.13,3.85,4.60,7.23,5.83,5.20,7.61,7.72,8.83,8.73,8.15,8.49,8.15,8.37,9.14,7.83,8.08,7.88,13.65,11.32,8.20,8.84,9.97,10.17,13.94,13.34,13.25,13.11,14.97,14.13,13.00,12.71,13.81,11.99,15.17,12.44,16.54,19.91,20.60,19.85,20.09,20.77,19.52,15.93,17.07,17.68,18.80,19.35,17.91,14.80,15.12,19.40,19.38,18.32,18.34,17.84,18.85,18.30,18.00,18.65,19.38,18.32,18.34,17.84,18.85,18.30,18.00,18.65
'SUCN'   ,39,97,0.26,0.12,0.40,0.59,0.51,0.90,1.09,1.71,2.71,3.13,3.85,4.60,7.23,5.83,5.20,7.61,7.72,8.83,8.73,8.15,8.49,8.15,8.37,9.14,7.83,8.08,7.88,13.65,11.32,8.20,8.84,9.97,10.17,13.94,13.34,13.25,13.11,14.97,14.13,13.00,12.71,13.81,11.99,15.17,12.44,16.54,19.91,20.60,19.85,20.09,20.77,19.52,15.93,17.07,17.68,18.80,19.35,17.91,14.80,15.12,19.40,19.38,18.32,18.34,17.84,18.85,18.30,18.00,18.65,19.38,18.32,18.34,17.84,18.85,18.30,18.00,18.65
LHCN’,36,104,0.26,0.12,0.40,0.59,0.51,0.90,1.09,1.71,2.71,3.13,3.85,4.60,7.23,5.83,5.20,7.61,7.72,8.83,8.73,8.15,8.49,8.15,8.37,9.14,7.83,8.08,7.88,13.65,11.32,8.20,8.84,9.97,10.17,13.94,13.34,13.25,13.11,14.97,14.13,13.00,12.71,13.81,11.99,15.17,12.44,16.54,19.91,20.60,19.85,20.09,20.77,19.52,15.93,17.07,17.68,18.80,19.35,17.91,14.80,15.12,19.40,19.38,18.32,18.34,17.84,18.85,18.30,18.00,18.65,19.38,18.32,18.34,17.84,18.85,18.30,18.00,18.65
'YBNK'   ,39,126,0.26,0.12,0.40,0.59,0.51,0.90,1.09,1.71,2.71,3.13,3.85,4.60,7.23,5.83,5.20,7.61,7.72,8.83,8.73,8.15,8.49,8.15,8.37,9.14,7.83,8.08,7.88,13.65,11.32,8.20,8.84,9.97,10.17,13.94,13.34,13.25,13.11,14.97,14.13,13.00,12.71,13.81,11.99,15.17,12.44,16.54,19.91,20.60,19.85,20.09,20.77,19.52,15.93,17.07,17.68,18.80,19.35,17.91,14.80,15.12,19.40,19.38,18.32,18.34,17.84,18.85,18.30,18.00,18.65,19.38,18.32,18.34,17.84,18.85,18.30,18.00,18.65
'PESA'   ,-26,28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
'EZAR'   ,-35,-59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
